id,timezone_code,name,zone
11,11,(GMT+00:00) UTC,UTC
12,12,(GMT-11:00) American Samoa,Pacific/Samoa
13,13,(GMT-11:00) International Date Line West,Pacific/Kwajalein
14,14,(GMT-11:00) Midway Island,Pacific/Midway
15,15,(GMT-10:00) Hawaii,Pacific/Honolulu
16,16,(GMT-09:00) Alaska,US/Alaska
17,17,(GMT-08:00) Pacific Time (US &amp; Canada),America/Los_Angeles
18,18,(GMT-08:00) Tijuana,America/Tijuana
19,19,(GMT-07:00) Arizona,US/Arizona
20,20,(GMT-07:00) Chihuahua,America/Chihuahua
21,21,(GMT-07:00) Mountain Time (US &amp; Canada),US/Mountain
22,22,(GMT-07:00) Mazatlan,America/Mazatlan
23,23,(GMT-06:00) Central Time (US &amp; Canada),US/Central
24,24,(GMT-06:00) Central America,America/Managua
25,25,(GMT-06:00) Guadalajara,America/Mexico_City
26,26,(GMT-06:00) Mexico City,America/Mexico_City
27,27,(GMT-06:00) Monterrey,America/Monterrey
28,28,(GMT-06:00) Saskatchewan,Canada/Saskatchewan
29,29,(GMT-05:00) Eastern Time (US &amp; Canada),US/Eastern
30,30,(GMT-05:00) Indiana (East),US/Eastern
31,31,(GMT-05:00) Bogota,America/Bogota
32,32,(GMT-05:00) Lima,America/Lima
33,33,(GMT-05:00) Quito,America/Bogota
34,34,(GMT-04:30) Caracas,America/Caracas
35,35,(GMT-04:00) Atlantic Time (Canada),Canada/Atlantic
36,36,(GMT-04:00) Georgetown,America/La_Paz
37,37,(GMT-04:00) La Paz,America/La_Paz
38,38,(GMT-04:00) Santiago,America/Santiago
39,39,(GMT-03:30) Newfoundland,Canada/Newfoundland
40,40,(GMT-03:00) Brasilia,America/Sao_Paulo
41,41,(GMT-03:00) Buenos Aires,America/Argentina/Buenos_Aires
42,42,(GMT-03:00) Greenland,America/Godthab
43,43,(GMT-02:00) Mid-Atlantic,America/Noronha
44,44,(GMT-01:00) Azores,Atlantic/Azores
45,45,(GMT-01:00) Cape Verde Is.,Atlantic/Cape_Verde
46,46,(GMT+00:00) Casablanca,Africa/Casablanca
47,47,(GMT+00:00) Dublin,Etc/Greenwich
48,48,(GMT+00:00) Edinburgh,Europe/London
49,49,(GMT+00:00) Lisbon,Europe/Lisbon
50,50,(GMT+00:00) London,Europe/London
51,51,(GMT+00:00) Monrovia,Africa/Monrovia
52,52,(GMT+01:00) Amsterdam,Europe/Amsterdam
53,53,(GMT+01:00) Belgrade,Europe/Belgrade
54,54,(GMT+01:00) Berlin,Europe/Berlin
55,55,(GMT+01:00) Bern,Europe/Berlin
56,56,(GMT+01:00) Bratislava,Europe/Bratislava
57,57,(GMT+01:00) Brussels,Europe/Brussels
58,58,(GMT+01:00) Budapest,Europe/Budapest
59,59,(GMT+01:00) Copenhagen,Europe/Copenhagen
60,60,(GMT+01:00) Ljubljana,Europe/Ljubljana
61,61,(GMT+01:00) Madrid,Europe/Madrid
62,62,(GMT+01:00) Paris,Europe/Paris
63,63,(GMT+01:00) Prague,Europe/Prague
64,64,(GMT+01:00) Rome,Europe/Rome
65,65,(GMT+01:00) Sarajevo,Europe/Sarajevo
66,66,(GMT+01:00) Skopje,Europe/Skopje
67,67,(GMT+01:00) Stockholm,Europe/Stockholm
68,68,(GMT+01:00) Vienna,Europe/Vienna
69,69,(GMT+01:00) Warsaw,Europe/Warsaw
70,70,(GMT+01:00) West Central Africa,Africa/Lagos
71,71,(GMT+01:00) Zagreb,Europe/Zagreb
72,72,(GMT+02:00) Athens,Europe/Athens
73,73,(GMT+02:00) Bucharest,Europe/Bucharest
74,74,(GMT+02:00) Cairo,Africa/Cairo
75,75,(GMT+02:00) Harare,Africa/Harare
76,76,(GMT+02:00) Helsinki,Europe/Helsinki
77,77,(GMT+02:00) Istanbul,Europe/Istanbul
78,78,(GMT+02:00) Jerusalem,Asia/Jerusalem
79,79,(GMT+02:00) Kyiv,Europe/Helsinki
80,80,(GMT+02:00) Pretoria,Africa/Johannesburg
81,81,(GMT+02:00) Riga,Europe/Riga
82,82,(GMT+02:00) Sofia,Europe/Sofia
83,83,(GMT+02:00) Tallinn,Europe/Tallinn
84,84,(GMT+02:00) Vilnius,Europe/Vilnius
85,85,(GMT+03:00) Baghdad,Asia/Baghdad
86,86,(GMT+03:00) Kuwait,Asia/Kuwait
87,87,(GMT+03:00) Minsk,Europe/Minsk
88,88,(GMT+03:00) Nairobi,Africa/Nairobi
89,89,(GMT+03:00) Riyadh,Asia/Riyadh
90,90,(GMT+03:00) St. Petersburg,Europe/Moscow
91,91,(GMT+03:00) Volgograd,Europe/Volgograd
92,92,(GMT+03:30) Tehran,Asia/Tehran
93,93,(GMT+04:00) Abu Dhabi,Asia/Muscat
94,94,(GMT+04:00) Baku,Asia/Baku
95,95,(GMT+03:00) Moscow,Europe/Moscow
96,96,(GMT+04:00) Muscat,Asia/Muscat
97,97,(GMT+04:00) Tbilisi,Asia/Tbilisi
98,98,(GMT+04:00) Yerevan,Asia/Yerevan
99,99,(GMT+04:30) Kabul,Asia/Kabul
100,100,(GMT+05:00) Ekaterinburg,Asia/Yekaterinburg
101,101,(GMT+05:00) Islamabad,Asia/Karachi
102,102,(GMT+05:00) Karachi,Asia/Karachi
103,103,(GMT+05:00) Tashkent,Asia/Tashkent
104,104,(GMT+05:30) Chennai,Asia/Calcutta
105,105,(GMT+05:30) Kolkata,Asia/Kolkata
106,106,(GMT+05:30) Mumbai,Asia/Calcutta
107,107,(GMT+05:30) New Delhi,Asia/Calcutta
108,108,(GMT+05:30) Sri Jayawardenepura,Asia/Calcutta
109,109,(GMT+05:45) Kathmandu,Asia/Katmandu
110,110,(GMT+06:00) Almaty,Asia/Almaty
111,111,(GMT+06:00) Astana,Asia/Dhaka
112,112,(GMT+06:00) Dhaka,Asia/Dhaka
113,113,(GMT+06:00) Novosibirsk,Asia/Novosibirsk
114,114,(GMT+06:30) Rangoon,Asia/Rangoon
115,115,(GMT+07:00) Bangkok,Asia/Bangkok
116,116,(GMT+07:00) Hanoi,Asia/Bangkok
117,117,(GMT+07:00) Jakarta,Asia/Jakarta
118,118,(GMT+07:00) Krasnoyarsk,Asia/Krasnoyarsk
119,119,(GMT+08:00) Beijing,Asia/Hong_Kong
120,120,(GMT+08:00) Chongqing,Asia/Chongqing
121,121,(GMT+08:00) Hong Kong,Asia/Hong_Kong
122,122,(GMT+08:00) Kuala Lumpur,Asia/Kuala_Lumpur
123,123,(GMT+08:00) Perth,Australia/Perth
124,124,(GMT+08:00) Singapore,Asia/Singapore
125,125,(GMT+08:00) Taipei,Asia/Taipei
126,126,(GMT+08:00) Ulan Bator,Asia/Ulan_Bator
127,127,(GMT+08:00) Urumqi,Asia/Urumqi
128,128,(GMT+09:00) Irkutsk,Asia/Irkutsk
129,129,(GMT+09:00) Osaka,Asia/Tokyo
130,130,(GMT+09:00) Sapporo,Asia/Tokyo
131,131,(GMT+09:00) Seoul,Asia/Seoul
132,132,(GMT+09:00) Tokyo,Asia/Tokyo
133,133,(GMT+09:00) Yakutsk,Asia/Yakutsk
134,134,(GMT+09:30) Adelaide,Australia/Adelaide
135,135,(GMT+09:30) Darwin,Australia/Darwin
136,136,(GMT+10:00) Brisbane,Australia/Brisbane
137,137,(GMT+10:00) Canberra,Australia/Canberra
138,138,(GMT+10:00) Guam,Pacific/Guam
139,139,(GMT+10:00) Hobart,Australia/Hobart
140,140,(GMT+10:00) Magadan,Asia/Magadan
141,141,(GMT+10:00) Melbournek,Australia/Melbourne
142,142,(GMT+10:00) Port Moresby,Pacific/Port_Moresby
143,143,(GMT+10:00) Sydney,Australia/Sydney
144,144,(GMT+10:00) Vladivostok,Asia/Vladivostok
145,145,(GMT+11:00) Solomon Is.,Asia/Magadan
146,146,(GMT+11:00) New Caledonia,Asia/Magadan
147,147,(GMT+12:00) Auckland,Pacific/Auckland
148,148,(GMT+12:00) Fiji,Pacific/Fiji
149,149,(GMT+12:00) Kamchatka,Asia/Kamchatka
150,150,(GMT+12:00) Marshall Is.,Pacific/Fiji
151,151,(GMT+12:00) Wellington,Pacific/Auckland
153,153,(GMT+13:00) Samoa,Pacific/Samoa
154,154,(GMT+13:00) Tokelau Is.,Pacific/Samoa
