id,category_code,name,parent_id
1,IAB1,Arts & Entertainment,NULL
2,IAB1-1,Books & Literature,1
3,IAB1-2,Celebrity Fan/Gossip,1
4,IAB1-3,Fine Art,1
5,IAB1-4,Humor,1
6,IAB1-5,Movies,1
7,IAB1-6,Music,1
8,IAB1-7,Television,1
9,IAB2,Automotive,NULL
10,IAB2-1,Auto Parts,9
11,IAB2-2,Auto Repair,9
12,IAB2-3,Buying/Selling Cars,9
13,IAB2-4,Car Culture,9
14,IAB2-5,Certified Pre-Owned,9
15,IAB2-6,Convertible,9
16,IAB2-7,Coupe,9
17,IAB2-8,Crossover,9
18,IAB2-9,Diesel,9
19,IAB2-10,Electric Vehicle,9
20,IAB2-11,Hatchback,9
21,IAB2-12,Hybrid,9
22,IAB2-13,Luxury,9
23,IAB2-14,MiniVan,9
24,IAB2-15,Mororcycles,9
25,IAB2-16,Off-Road Vehicles,9
26,IAB2-17,Performance Vehicles,9
27,IAB2-18,Pickup,9
28,IAB2-19,Road-Side Assistance,9
29,IAB2-20,Sedan,9
30,IAB2-21,Trucks & Accessories,9
31,IAB2-22,Vintage Cars,9
32,IAB2-23,Wagon,9
33,IAB3,Business,NULL
34,IAB3-1,Advertising,33
35,IAB3-2,Agriculture,33
36,IAB3-3,Biotech/Biomedical,33
37,IAB3-4,Business Software,33
38,IAB3-5,Construction,33
39,IAB3-6,Forestry,33
40,IAB3-7,Government,33
41,IAB3-8,Green Solutions,33
42,IAB3-9,Human Resources,33
43,IAB3-10,Logistics,33
44,IAB3-11,Marketing,33
45,IAB3-12,Metals,33
46,IAB4,Careers,NULL
47,IAB4-1,Career Planning,46
48,IAB4-2,College,46
49,IAB4-3,Financial Aid,46
50,IAB4-4,Job Fairs,46
51,IAB4-5,Job Search,46
52,IAB4-6,Resume Writing/Advice,46
53,IAB4-7,Nursing,46
54,IAB4-8,Scholarships,46
55,IAB4-9,Telecommuting,46
56,IAB4-10,U.S. Military,46
57,IAB4-11,Career Advice,46
58,IAB5,Education,NULL
59,IAB5-1,Education,58
60,IAB5-2,Adult Education,58
61,IAB5-3,Art History,58
62,IAB5-4,College Administration,58
63,IAB5-5,College Life,58
64,IAB5-6,Distance Learning,58
65,IAB5-7,English as a 2nd Language,58
66,IAB5-8,Language Learning,58
67,IAB5-9,Graduate School,58
68,IAB5-10,Homeschooling,58
69,IAB5-11,Homework/Study Tips,58
70,IAB5-12,K-6 Educators,58
71,IAB5-13,Private School,58
72,IAB5-14,Special Education,58
73,IAB5-15,Studying Business,58
74,IAB6,Family & Parenting,NULL
75,IAB6-1,Adoption,74
76,IAB6-2,Babies & Toddlers,74
77,IAB6-3,Daycare/Pre School,74
78,IAB6-4,Family Internet,74
79,IAB6-5,Parenting - K-6 Kids,74
80,IAB6-6,Parenting teens,74
81,IAB6-7,Pregnancy,74
82,IAB6-8,Special Education,74
84,IAB7,Health & Fitness,NULL
85,IAB7-1,Exercise,84
86,IAB7-2,A.D.D.,84
87,IAB7-3,AIDS/HIV,84
88,IAB7-4,Allergies,84
89,IAB7-5,Alternative Medicine,84
90,IAB7-6,Arthritis,84
91,IAB7-7,Asthma,84
92,IAB7-8,Autism/PDD,84
93,IAB7-9,Bipolar Disorder,84
94,IAB7-10,Brain Tumor,84
95,IAB7-11,Cancer,84
96,IAB7-12,Cholesterol,84
97,IAB7-13,Chronic Fatigue Syndrome,84
98,IAB7-14,Chronic Pain,84
99,IAB7-15,Cold & Flu,84
100,IAB7-16,Deafness,84
101,IAB7-17,Dental Care,84
102,IAB7-18,Depression,84
103,IAB7-19,Dermatology,84
104,IAB7-20,Diabetes,84
105,IAB7-21,Epilepsy,84
106,IAB7-22,GERD/Acid Reflux,84
107,IAB7-23,Headaches/Migraines,84
